Event Type	Name	Date	Time
rising trigger	acquisition started	07/23/2015	09:05:48.453 AM
sync summary event # 1	StartRecording	07/23/2015	09:05:49.504 AM
sync summary event # 5	FixationOnset	07/23/2015	09:07:44.304 AM
sync summary event # 6	StartPreClipBase	07/23/2015	09:07:51.875 AM
sync summary event # 53		07/23/2015	09:07:56.936 AM
sync summary event # 5	FixationOnset	07/23/2015	09:08:00.730 AM
sync summary event # 6	StartPreClipBase	07/23/2015	09:08:06.282 AM
sync summary event # 51		07/23/2015	09:08:11.340 AM
sync summary event # 5	FixationOnset	07/23/2015	09:08:15.034 AM
sync summary event # 6	StartPreClipBase	07/23/2015	09:08:24.587 AM
sync summary event # 52		07/23/2015	09:08:29.651 AM
sync summary event # 2	StartBaseline3min	07/23/2015	09:09:26.655 AM
sync summary event # 3	StartBaseline2min	07/23/2015	09:12:27.409 AM
sync summary event # 4	EndBaseline2min	07/23/2015	09:14:27.894 AM
sync summary event # 64		07/23/2015	09:15:05.879 AM
sync summary event # 1	StartRecording	07/23/2015	09:15:06.929 AM
sync summary event # 2	StartBaseline3min	07/23/2015	09:15:07.511 AM
sync summary event # 3	StartBaseline2min	07/23/2015	09:15:07.561 AM
sync summary event # 4	EndBaseline2min	07/23/2015	09:15:07.611 AM
sync summary event # 5	FixationOnset	07/23/2015	09:15:16.779 AM
sync summary event # 8	neut	07/23/2015	09:15:26.340 AM
sync summary event # 5	FixationOnset	07/23/2015	09:15:30.059 AM
sync summary event # 8	neut	07/23/2015	09:15:35.610 AM
sync summary event # 5	FixationOnset	07/23/2015	09:15:39.306 AM
sync summary event # 9	pos	07/23/2015	09:15:45.857 AM
sync summary event # 5	FixationOnset	07/23/2015	09:15:49.555 AM
sync summary event # 9	pos	07/23/2015	09:15:57.106 AM
sync summary event # 5	FixationOnset	07/23/2015	09:16:00.788 AM
sync summary event # 7	neg	07/23/2015	09:16:09.339 AM
sync summary event # 5	FixationOnset	07/23/2015	09:16:13.039 AM
sync summary event # 9	pos	07/23/2015	09:16:23.590 AM
sync summary event # 5	FixationOnset	07/23/2015	09:16:27.294 AM
sync summary event # 9	pos	07/23/2015	09:16:37.844 AM
sync summary event # 5	FixationOnset	07/23/2015	09:16:41.565 AM
sync summary event # 7	neg	07/23/2015	09:16:50.116 AM
sync summary event # 5	FixationOnset	07/23/2015	09:16:53.833 AM
sync summary event # 9	pos	07/23/2015	09:17:01.384 AM
sync summary event # 5	FixationOnset	07/23/2015	09:17:05.083 AM
sync summary event # 9	pos	07/23/2015	09:17:10.634 AM
sync summary event # 5	FixationOnset	07/23/2015	09:17:14.330 AM
sync summary event # 7	neg	07/23/2015	09:17:23.881 AM
sync summary event # 5	FixationOnset	07/23/2015	09:17:27.566 AM
sync summary event # 9	pos	07/23/2015	09:17:34.117 AM
sync summary event # 5	FixationOnset	07/23/2015	09:17:37.815 AM
sync summary event # 9	pos	07/23/2015	09:17:47.366 AM
sync summary event # 5	FixationOnset	07/23/2015	09:17:51.051 AM
sync summary event # 7	neg	07/23/2015	09:17:57.602 AM
sync summary event # 5	FixationOnset	07/23/2015	09:18:01.300 AM
sync summary event # 9	pos	07/23/2015	09:18:09.851 AM
sync summary event # 5	FixationOnset	07/23/2015	09:18:13.535 AM
sync summary event # 8	neut	07/23/2015	09:18:21.086 AM
sync summary event # 5	FixationOnset	07/23/2015	09:18:24.785 AM
sync summary event # 7	neg	07/23/2015	09:18:30.336 AM
sync summary event # 5	FixationOnset	07/23/2015	09:18:34.015 AM
sync summary event # 7	neg	07/23/2015	09:18:44.566 AM
sync summary event # 5	FixationOnset	07/23/2015	09:18:48.270 AM
sync summary event # 9	pos	07/23/2015	09:18:55.821 AM
sync summary event # 5	FixationOnset	07/23/2015	09:18:59.536 AM
sync summary event # 7	neg	07/23/2015	09:19:09.087 AM
sync summary event # 5	FixationOnset	07/23/2015	09:19:12.906 AM
sync summary event # 7	neg	07/23/2015	09:19:19.457 AM
sync summary event # 5	FixationOnset	07/23/2015	09:19:23.139 AM
sync summary event # 8	neut	07/23/2015	09:19:28.690 AM
sync summary event # 5	FixationOnset	07/23/2015	09:19:32.386 AM
sync summary event # 8	neut	07/23/2015	09:19:40.937 AM
sync summary event # 5	FixationOnset	07/23/2015	09:19:44.620 AM
sync summary event # 7	neg	07/23/2015	09:19:55.171 AM
sync summary event # 5	FixationOnset	07/23/2015	09:19:58.875 AM
sync summary event # 8	neut	07/23/2015	09:20:09.426 AM
sync summary event # 5	FixationOnset	07/23/2015	09:20:13.146 AM
sync summary event # 7	neg	07/23/2015	09:20:21.697 AM
sync summary event # 5	FixationOnset	07/23/2015	09:20:25.414 AM
sync summary event # 7	neg	07/23/2015	09:20:31.965 AM
sync summary event # 5	FixationOnset	07/23/2015	09:20:35.663 AM
sync summary event # 9	pos	07/23/2015	09:20:41.214 AM
sync summary event # 5	FixationOnset	07/23/2015	09:20:44.893 AM
sync summary event # 9	pos	07/23/2015	09:20:54.444 AM
sync summary event # 5	FixationOnset	07/23/2015	09:20:58.180 AM
sync summary event # 7	neg	07/23/2015	09:21:05.731 AM
sync summary event # 5	FixationOnset	07/23/2015	09:21:09.446 AM
sync summary event # 9	pos	07/23/2015	09:21:17.997 AM
sync summary event # 5	FixationOnset	07/23/2015	09:21:21.714 AM
sync summary event # 7	neg	07/23/2015	09:21:31.265 AM
sync summary event # 5	FixationOnset	07/23/2015	09:21:34.951 AM
sync summary event # 9	pos	07/23/2015	09:21:45.502 AM
sync summary event # 5	FixationOnset	07/23/2015	09:21:49.355 AM
sync summary event # 8	neut	07/23/2015	09:21:55.906 AM
sync summary event # 5	FixationOnset	07/23/2015	09:21:59.605 AM
sync summary event # 9	pos	07/23/2015	09:22:07.156 AM
sync summary event # 5	FixationOnset	07/23/2015	09:22:10.838 AM
sync summary event # 9	pos	07/23/2015	09:22:16.389 AM
sync summary event # 5	FixationOnset	07/23/2015	09:22:20.085 AM
sync summary event # 8	neut	07/23/2015	09:22:25.636 AM
sync summary event # 5	FixationOnset	07/23/2015	09:22:29.315 AM
sync summary event # 7	neg	07/23/2015	09:22:38.866 AM
sync summary event # 5	FixationOnset	07/23/2015	09:22:42.551 AM
sync summary event # 8	neut	07/23/2015	09:22:49.102 AM
sync summary event # 5	FixationOnset	07/23/2015	09:22:52.783 AM
sync summary event # 7	neg	07/23/2015	09:23:01.334 AM
sync summary event # 5	FixationOnset	07/23/2015	09:23:04.984 AM
sync summary event # 8	neut	07/23/2015	09:23:15.535 AM
sync summary event # 5	FixationOnset	07/23/2015	09:23:19.256 AM
sync summary event # 7	neg	07/23/2015	09:23:26.807 AM
sync summary event # 5	FixationOnset	07/23/2015	09:23:30.473 AM
sync summary event # 9	pos	07/23/2015	09:23:39.024 AM
sync summary event # 5	FixationOnset	07/23/2015	09:23:42.707 AM
sync summary event # 8	neut	07/23/2015	09:23:49.258 AM
sync summary event # 5	FixationOnset	07/23/2015	09:23:52.939 AM
sync summary event # 8	neut	07/23/2015	09:24:00.490 AM
sync summary event # 5	FixationOnset	07/23/2015	09:24:04.172 AM
sync summary event # 9	pos	07/23/2015	09:24:14.723 AM
sync summary event # 5	FixationOnset	07/23/2015	09:24:18.427 AM
sync summary event # 9	pos	07/23/2015	09:24:27.978 AM
sync summary event # 5	FixationOnset	07/23/2015	09:24:31.647 AM
sync summary event # 7	neg	07/23/2015	09:24:37.197 AM
sync summary event # 5	FixationOnset	07/23/2015	09:24:40.894 AM
sync summary event # 9	pos	07/23/2015	09:24:46.445 AM
sync summary event # 5	FixationOnset	07/23/2015	09:24:50.124 AM
sync summary event # 9	pos	07/23/2015	09:24:59.675 AM
sync summary event # 64		07/23/2015	09:25:36.401 AM
sync summary event # 1	StartRecording	07/23/2015	09:25:37.451 AM
sync summary event # 2	StartBaseline3min	07/23/2015	09:25:37.937 AM
sync summary event # 3	StartBaseline2min	07/23/2015	09:25:37.987 AM
sync summary event # 4	EndBaseline2min	07/23/2015	09:25:38.037 AM
sync summary event # 5	FixationOnset	07/23/2015	09:25:43.782 AM
sync summary event # 8	neut	07/23/2015	09:25:54.345 AM
sync summary event # 5	FixationOnset	07/23/2015	09:25:58.031 AM
sync summary event # 8	neut	07/23/2015	09:26:04.582 AM
sync summary event # 5	FixationOnset	07/23/2015	09:26:08.247 AM
sync summary event # 9	pos	07/23/2015	09:26:17.798 AM
sync summary event # 5	FixationOnset	07/23/2015	09:26:21.516 AM
sync summary event # 8	neut	07/23/2015	09:26:29.067 AM
sync summary event # 5	FixationOnset	07/23/2015	09:26:32.732 AM
sync summary event # 9	pos	07/23/2015	09:26:41.283 AM
sync summary event # 5	FixationOnset	07/23/2015	09:26:44.967 AM
sync summary event # 8	neut	07/23/2015	09:26:50.518 AM
sync summary event # 5	FixationOnset	07/23/2015	09:26:54.182 AM
sync summary event # 7	neg	07/23/2015	09:26:59.732 AM
sync summary event # 5	FixationOnset	07/23/2015	09:27:03.429 AM
sync summary event # 7	neg	07/23/2015	09:27:10.980 AM
sync summary event # 5	FixationOnset	07/23/2015	09:27:14.679 AM
sync summary event # 9	pos	07/23/2015	09:27:24.230 AM
sync summary event # 5	FixationOnset	07/23/2015	09:27:27.948 AM
sync summary event # 9	pos	07/23/2015	09:27:38.499 AM
sync summary event # 5	FixationOnset	07/23/2015	09:27:42.219 AM
sync summary event # 8	neut	07/23/2015	09:27:48.770 AM
sync summary event # 5	FixationOnset	07/23/2015	09:27:52.568 AM
sync summary event # 8	neut	07/23/2015	09:28:01.119 AM
sync summary event # 5	FixationOnset	07/23/2015	09:28:04.819 AM
sync summary event # 9	pos	07/23/2015	09:28:11.370 AM
sync summary event # 5	FixationOnset	07/23/2015	09:28:15.034 AM
sync summary event # 7	neg	07/23/2015	09:28:25.586 AM
sync summary event # 5	FixationOnset	07/23/2015	09:28:29.256 AM
sync summary event # 8	neut	07/23/2015	09:28:36.807 AM
sync summary event # 5	FixationOnset	07/23/2015	09:28:40.489 AM
sync summary event # 8	neut	07/23/2015	09:28:50.040 AM
sync summary event # 5	FixationOnset	07/23/2015	09:28:53.743 AM
